strategy,tau_min,k,auc_M_mean,M_final_mean,peak_M_mean,peak_t_mean
bridges,0,1,876.3698526943874,4.294447137796009,4.294447137796009,70.3581652060414
bridges,0,3,819.2545795263844,4.006914040648891,4.006914040648891,69.71839641991423
bridges,0,5,817.9405370128659,4.005948163341413,4.005948163341413,69.83783703151221
bridges,0,10,817.0131512213314,3.9984411709863883,3.9984411709863883,69.38011560693641
bridges,15,1,901.578627633787,4.422975946298713,4.422975946298713,72.02382248741377
bridges,15,3,897.3667033376842,4.403251911243707,4.403251911243707,71.89432034309155
bridges,15,5,892.0599515196717,4.3872422151780714,4.3872422151780714,71.24523214618684
bridges,15,10,883.155567779228,4.377904158120455,4.377904158120455,70.5081670706694
bridges,30,1,905.0883926906582,4.422498601528995,4.422498601528995,72.21033003915718
bridges,30,3,899.9897631922431,4.407749393995897,4.407749393995897,71.39630803654671
bridges,30,5,897.6400074585121,4.396494499347381,4.396494499347381,71.3012530300205
bridges,30,10,891.525265709491,4.378784262539623,4.378784262539623,70.47790042886444
bridges,60,1,901.5237926533656,4.426556032071601,4.426556032071601,72.26211448815961
bridges,60,3,898.1568469140407,4.4125116539250415,4.4125116539250415,71.11272422151781
bridges,60,5,900.4063378705949,4.4156666045124,4.4156666045124,71.0134700727205
bridges,60,10,893.8750289017341,4.389617751258624,4.389617751258624,70.31980234943128
community,0,1,846.7056964385606,4.13487227298154,4.13487227298154,70.30912176020884
community,0,3,819.0477680402759,3.9964199142271117,3.9964199142271117,69.13819131083349
community,0,5,819.9528510162222,4.000551929889987,4.000551929889987,69.30594070482938
community,0,10,816.7432332649636,3.9973596867424948,3.9973596867424948,70.40730934178632
community,15,1,895.2537180682455,4.4037479022934924,4.4037479022934924,72.08810367331718
community,15,3,887.7586593324633,4.382103300391572,4.382103300391572,70.77279880663808
community,15,5,884.5433936229722,4.372638448629498,4.372638448629498,70.91413015103487
community,15,10,883.0171303374976,4.369375349617751,4.369375349617751,70.76798806638075
community,30,1,898.4115028901733,4.411273540928585,4.411273540928585,71.32443408539996
community,30,3,890.5793175461495,4.391709863882156,4.391709863882156,71.03214991609174
community,30,5,888.3177512586238,4.380965877307477,4.380965877307477,70.52456088010442
community,30,10,886.3839492821182,4.373842998321835,4.373842998321835,70.05665112809994
community,60,1,901.8433880290881,4.421238112996457,4.421238112996457,72.16513518553049
community,60,3,896.8933712474362,4.402834234570204,4.402834234570204,70.5138057057617
community,60,5,893.5976841320156,4.398608987506993,4.398608987506993,70.39603953011374
community,60,10,895.5532239418237,4.396539250419541,4.396539250419541,70.62686556032072
earliest,0,1,818.9406768599664,4.005951892597427,4.005951892597427,69.56215178071974
earliest,0,3,819.1068021629685,4.0018161476785385,4.0018161476785385,69.55445459630803
earliest,0,5,816.8440481074025,4.0053887749394,4.0053887749394,69.81829945925787
earliest,0,10,820.2268487786687,4.005593884020138,4.005593884020138,69.79351482379265
earliest,15,1,898.7018553048666,4.418787991795637,4.418787991795637,71.59153085959352
earliest,15,3,893.9892093977252,4.401297781092672,4.401297781092672,71.87996643669588
earliest,15,5,890.669166511281,4.389278388961403,4.389278388961403,71.200555659146
earliest,15,10,885.5713816893531,4.3795263844862955,4.3795263844862955,70.56203244452732
earliest,30,1,901.5870520231215,4.418623904531047,4.418623904531047,71.85459257878053
earliest,30,3,899.0056908446765,4.410762632854746,4.410762632854746,71.92384113369383
earliest,30,5,897.6835129591645,4.404102181614768,4.404102181614768,71.91050158493381
earliest,30,10,887.7901603580085,4.385485735595749,4.385485735595749,70.7616968114861
earliest,60,1,902.8867499533842,4.421771396606377,4.421771396606377,71.83191497296289
earliest,60,3,897.9533861644602,4.411359313816893,4.411359313816893,71.90796569084468
earliest,60,5,896.420829759463,4.412064143203431,4.412064143203431,71.05304866679097
earliest,60,10,895.247501398471,4.402532164833116,4.402532164833116,71.10277829573
hubs,0,1,844.9624762259929,4.106884206600784,4.106884206600784,69.82638075703898
hubs,0,3,814.2873857915346,3.997352228230468,3.997352228230468,68.97063583815029
hubs,0,5,816.2920548200634,4.005366399403319,4.005366399403319,69.86162595562186
hubs,0,10,817.4998452358755,3.996871154204736,3.996871154204736,69.81555845608801
hubs,15,1,897.2015756106656,4.406496363975387,4.406496363975387,71.75450307663621
hubs,15,3,885.4699216856238,4.3769420100689915,4.3769420100689915,70.50506805892225
hubs,15,5,883.5467630057803,4.376054447137796,4.376054447137796,70.77429796755547
hubs,15,10,881.8386406861831,4.365862390453104,4.365862390453104,70.17072906955062
hubs,30,1,899.0263882155509,4.414476971844117,4.414476971844117,71.51863509229909
hubs,30,3,888.0765765429796,4.387909752004475,4.387909752004475,71.18764497482752
hubs,30,5,890.511650195786,4.3828976319224315,4.3828976319224315,70.79203803841133
hubs,30,10,887.9446429237368,4.3763192243147495,4.3763192243147495,70.12729442476225
hubs,60,1,899.5753794517993,4.412724221517807,4.412724221517807,72.49784076076823
hubs,60,3,893.3648815961217,4.40067499533843,4.40067499533843,71.65381689352974
hubs,60,5,895.1553384299832,4.395084840574305,4.395084840574305,70.69284355771023
hubs,60,10,891.2813033749767,4.391057244079806,4.391057244079806,69.76287525638635
random,0,1,860.3390658213686,4.220656349058363,4.220656349058363,71.29031885138915
random,0,3,816.3652302815589,3.9992727950773816,3.9992727950773816,69.66993473801976
random,0,5,822.5173876561626,4.007204922617937,4.007204922617937,70.14959910497855
random,0,10,820.7526421778855,4.00418049599105,4.00418049599105,70.18876002237553
random,15,1,901.0186518739512,4.416763005780346,4.416763005780346,71.82318478463546
random,15,3,895.2110162222637,4.403427186276338,4.403427186276338,72.25411523401081
random,15,5,888.4689446205482,4.3855752377400705,4.3855752377400705,71.06550438187581
random,15,10,885.9668898004848,4.370922990863322,4.370922990863322,70.27067313071042
random,30,1,901.629147865001,4.422550811113183,4.422550811113183,72.59339175834421
random,30,3,900.7593305985456,4.411113182920007,4.411113182920007,72.25815774752937
random,30,5,894.9745813910124,4.394745478277084,4.394745478277084,71.1678053328361
random,30,10,885.9285511840388,4.388346074958046,4.388346074958046,71.43202312138729
random,60,1,903.1553141898191,4.424288644415439,4.424288644415439,71.48628379638262
random,60,3,897.3092149916092,4.419041581204549,4.419041581204549,72.08543725526758
random,60,5,895.21333022562,4.404762259929145,4.404762259929145,71.60046242774567
random,60,10,893.0861775125862,4.394159985082976,4.394159985082976,70.74455715084841
